;;;;;;;;;;;;;;;;;;;;;;;;;;;
LogID;652;;Lap;RunTime;LapTime;HR;avgHR;LapDist;LapSpeed;RunDist;RunSpeed;Notes;;Time;HR;EPOC;Vent;Resp;VO2;kCal;Alt;Distance;Speed;min/km;km/h;;
;;;;;;;;;;;;;;0:06:06;92;1,018;18;19;7;2,21;0;0;0,000;;0,0;;
;;;;;;;;;;;;;;0:06:08;91;1,021;17;18;7;2,14;0;0;0,000;;0,0;;
;;;;;;;;;;;;;;0:06:10;89;1,023;16;18;6;1,96;0;0;0,000;;0,0;;
;;;;;;;;;;;;;;0:06:12;88;1,025;16;17;6;1,88;0;0;0,000;;0,0;;
;;;;;;;;;;;;;;0:06:14;88;1,027;15;17;6;1,84;0;0;0,000;;0,0;;
;;;;;;;;;;;;;;0:06:16;87;1,028;15;17;5;1,79;0;0;0,000;;0,0;;
;;;;;;;;;;;;;;0:06:18;85;1,030;15;17;5;1,69;0;0;0,000;;0,0;;
;;;;;;;;;;;;;;0:06:20;82;1,031;14;17;5;1,55;0;0;0,000;;0,0;;
;;;;;;;;;;;;;;0:06:22;77;1,031;13;17;4;1,38;0;0;0,000;;0,0;;
;;;;;;;;;;;;;;0:06:24;83;1,032;14;17;5;1,60;0;0;0,000;;0,0;;
;;;;;;;;;;;;;;0:06:26;86;1,033;14;17;5;1,70;0;0;0,000;;0,0;;
;;;;;;;;;;;;;;0:06:28;72;1,033;12;17;4;1,21;0;0;0,000;;0,0;;
;;;;;;;;;;;;;;0:06:30;72;1,033;12;17;4;1,22;0;0;0,000;;0,0;;
;;;;;;;;;;;;;;0:06:32;78;1,034;13;17;4;1,44;0;0;0,000;;0,0;;
;;;;;;;;;;;;;;0:06:34;78;1,034;13;17;4;1,45;0;0;0,000;;0,0;;
;;;;;;;;;;;;;;0:06:36;78;1,035;13;17;4;1,44;0;0;0,000;;0,0;;
;;;;;;;;;;;;;;0:06:38;80;1,035;14;17;5;1,54;0;0;0,000;;0,0;;
;;;;;;;;;;;;;;0:06:40;78;1,036;13;17;4;1,44;0;0;0,000;;0,0;;
;;;;;;;;;;;;;;0:06:42;82;1,037;14;17;5;1,60;0;0;0,000;;0,0;;
;;;;;;;;;;;;;;0:06:44;86;1,038;15;17;5;1,76;0;0;0,000;;0,0;;
;;;;;;;;;;;;;;0:06:46;90;1,040;17;17;6;1,96;0;0;0,000;;0,0;;
;;;;;;;;;;;;;;0:06:48;100;1,043;19;17;8;2,42;0;0;0,000;;0,0;;
;;;;;;;;;;;;;;0:06:50;102;1,048;19;17;8;2,49;0;0;0,000;;0,0;;
;;;;;;;;;;;;;;0:06:52;101;1,051;19;17;8;2,41;0;0;0,000;;0,0;;
;;;;;;;;;;;;;;0:06:54;101;1,055;19;17;8;2,42;0;0;0,000;;0,0;;
;;;;;;;;;;;;;;0:06:56;100;1,059;18;17;7;2,34;0;0;0,000;;0,0;;
;;;;;;;;;;;;;;0:06:58;99;1,062;18;17;7;2,29;0;0;0,000;;0,0;;
;;;;;;;;;;;;;;0:07:00;101;1,065;18;17;7;2,36;0;0;0,000;;0,0;;
;;;;;;;;;;;;;;0:07:02;103;1,069;19;16;8;2,44;0;0;0,000;;0,0;;
;;;;;;;;;;;;;;0:07:04;104;1,073;19;16;8;2,48;0;0;0,000;;0,0;;
;;;;;;;;;;;;;;0:07:06;108;1,078;20;16;9;2,72;0;0;0,000;;0,0;;
;;;;;;;;;;;;;;0:07:08;110;1,083;21;16;9;2,78;0;0;0,000;;0,0;;
;;;;;;;;;;;;;;0:07:10;106;1,088;18;16;8;2,53;0;0;0,000;;0,0;;
;;;;;;;;;;;;;;0:07:12;96;1,090;16;16;6;2,03;0;0;0,000;;0,0;;
;;;;;;;;;;;;;;0:07:14;96;1,092;17;16;6;2,08;0;0;0,000;;0,0;;
;;;;;;;;;;;;;;0:07:16;101;1,096;18;16;7;2,35;0;0;0,000;;0,0;;
